Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Predicted Rating
Rajrani Meera,1933.0,134.0,Drama,,,Debaki Bose,Durga Khote,Prithviraj Kapoor,Pahadi Sanyal,4.211500000000004
Raju Aur Gangaram,1962.0,134.0,Unknown,,,Ezra Mir,Mridula Rani,Abhimanyu Sharma,Unknown,6.0684000000000005
Rajyaveeran,1997.0,122.0,Action,,,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Unknown,Unknown,6.232000000000002
Rajyogi Bharthari,1954.0,134.0,Unknown,,,Sumitra Devi,Bipin Gupta,Jankidas,Trilok Kapoor,6.739333333333331
Raka,2021.0,118.0,Action,,,Dhananjay Mukherjee,Ujjwal Ank,Laltu Bagdi,Palash Chatterjee,4.255666666666667
Rakhail No 1,2001.0,134.0,Thriller,,,Tilak,Rajeev Raj,Sapna Sappu,Yamni,4.422
Rakhi Rakhi,1969.0,134.0,Unknown,,,Mahesh Kaul,Rakesh Behl,Suresh Chatwal,Bhaskar Chowdhury,6.267749999999999
Raksha Bandhan,2021.0,134.0,"Drama, Family",,,Aanand L. Rai,Akshay Kumar,Shuruti Kumari,Unknown,7.002899999999995
Rakto Lekha,1992.0,134.0,Action,,,Ram Mukerji,Unknown,Unknown,Unknown,6.3333333333333375
Ram Aur Rahim,1968.0,134.0,Drama,,,Shivaji Ganesan,Surya Kumari,Gummadi Lingamurthy,Pasala Suryachandra Rao,6.155083333333328
Ram Balram Aur Ramkali,2005.0,134.0,Action,,,Junior Dharmendra,Ramesh Goyal,Reena Kapoor,Manmauji,4.659521428571431
Ram Bhakta Vibishan,1958.0,134.0,Unknown,,,Samar Chatterjee,Prem Adib,Krishna Kumari,Shahu Modak,6.468571428571429
Ram Bhakti,1958.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.203396428571427
Ram Darshan,1950.0,134.0,Unknown,,,Ramesh Gupta,Bharat Bhushan,Dhalia,Sashi Kapoor,6.115333333333336
Ram Hanuman Yuddha,1957.0,134.0,Unknown,,,S.N. Tripathi,Prem Adib,Manher Desai,Durga Khote,6.593823809523805
Ram Janma,1951.0,134.0,Unknown,,,Nanabhai Bhatt,Trilok Kapoor,Nirupa Roy,Shobhna Samarth,6.649600000000004
Ram Lakshman,1957.0,134.0,Unknown,,,Mohan Sinha,Shahu Modak,Lalita Pawar,Sulochana Latkar,6.593823809523805
Ram Maruti Yuddha,1923.0,134.0,Unknown,,,Dhundiraj Govind Phalke,Sakharam Jadhav,Bhaurao Datar,Unknown,5.008973809523807
Ram Milai Jodi,1986.0,134.0,Unknown,,,H.S. Kanwal,Kalpana Iyer,Anil Kochar,Dheeraj Kumar,5.378128205128205
Ram Navami,1956.0,134.0,Unknown,,,Raman B. Desai,Prem Adib,Babu Raje,Ratnamala,6.323033333333331
Ram Rahim,1930.0,134.0,Unknown,,,K.P. Bhave,Eddie Billimoria,Gohar,Mazhar Khan,5.001140476190475
Ram Rajya,1967.0,144.0,Fantasy,,,Vijay Bhatt,Bina Rai,Kumar Sen,Badri Prasad,6.441050000000001
Ram Rajya,1997.0,134.0,Drama,,,Nitesh Rai,Manoj Bakshi,Sandeep Bhojak,Mushtaq Khan,5.128766666666666
Ram Rajya Vijay,1926.0,134.0,Unknown,,,Dhundiraj Govind Phalke,Unknown,Unknown,Unknown,4.096766666666662
Ram Setu,1997.0,134.0,Drama,,,Abhishek Sharma,Akshay Kumar,Jacqueline Fernandez,Nushrat Bharucha,5.153133333333329
Ram Vivas,1949.0,134.0,Unknown,,,Ulhas,Unknown,Unknown,Unknown,5.897000000000005
Ramanujan (The Man who reshaped 20th Century Mathematics),2018.0,134.0,Documentary,,,Akashdeep,Akashdeep Pandey,Krishna Kumar Anant,Rphan Jadhav,6.592416666666666
Ramayan,1933.0,134.0,Fantasy,,,Mukhtar Begum,Indubala,Prithviraj Kapoor,Leela,6.134499999999997
Ramayan,1934.0,134.0,Fantasy,,,Prafulla Roy,Sudarshan,Unknown,Unknown,5.151999999999999
Ramayan,1981.0,134.0,Fantasy,,,Girish Manukant,Unknown,Unknown,Unknown,6.050833333333332
Ramayan,1960.0,134.0,Drama,,,Shivaji Ganesan,Padmini,N.T. Rama Rao,Unknown,6.406333333333331
Ramayani,1945.0,134.0,Unknown,,,Sarvottam Badami,Kanhaiyalal Chaturvedi,Rose,Unknown,5.8649999999999975
Ramba O Ramba,2003.0,68.0,Thriller,,,Shakeela,Unknown,Unknown,Unknown,6.234000000000001
Rambaan,1948.0,134.0,Unknown,,,Vijay Bhatt,Prem Adib,Raj Adib,Leela Mishra,6.854299999999992
Rambha Ram Babu,1990.0,134.0,Drama,,,Parijatha,Rajendra Prasad,Unknown,Unknown,5.970999999999999
Rambha Rani,1933.0,134.0,Unknown,,,Harshadrai Sakerlal Mehta,Baburao Apte,Bhim,Chandrika,4.803016666666667
Rambhakta Hunuman,1969.0,134.0,"Drama, Fantasy",,,Shantilal Soni,Abhi Bhattacharya,Jaymala Adarsh,Jayshree Gadkar,5.973817857142858
Rambo,1997.0,134.0,"Action, Drama",,,Siddharth Anand,Tiger Shroff,Unknown,Unknown,6.025666666666666
Ramdhari B.A,1941.0,134.0,Drama,,,Ramprasad,Unknown,Unknown,Unknown,5.692999999999994
Ramdoot Hanuman,1968.0,134.0,History,,,Unknown,Unknown,Unknown,Unknown,7.073499999999991
Ramer Sumati,1947.0,144.0,"Drama, Family",,,Kartick Chattopadhyay,Molina Devi,Jahar Ganguli,Prafullabala,6.901999999999998
Ramgadh Ki Ramkali,2001.0,134.0,Action,,,K.I. Sheikh,Durgesh Nandini,Amit Pachori,Shah Gayaz Khan,4.861172619047619
Ramgarh Ka Daku,1995.0,134.0,Action,,,Harinam Singh,Kishore Anand Bhanushali,Birbal,Raza Murad,4.70106944444444
Ramhari of Champapara,1986.0,134.0,Drama,,,Samiran Dutta,Unknown,Unknown,Unknown,5.476166666666667
Ramman,1954.0,134.0,Drama,,,Hiren Bose,Cuckoo,Karan Dewan,Majnu,6.557999999999998
Rampur Ki Sita,1988.0,134.0,Action,,,Anuradha,Madhavi,Pandharibai,Ravi,4.590999999999999
Ramshastri Ka Nyay,1956.0,134.0,Unknown,,,Vishram Bedekar,Gajanan Jagirdar,Ram Marathe,Shakuntala,6.598377489177487
Ramu To Diwana Hai,1980.0,134.0,Comedy,,,Kishore Rege,David Abraham,Gulshan Bawra,Chandru,5.758000000000003
Ramu Ustad,1971.0,134.0,Action,,,Mohammed Hussain,Dara Singh,Anita,Jayshree T.,5.84216666666667
Ramyug,1997.0,37.0,"Action, Drama, Fantasy",,,Kunal Kohli,Diganth,Aishwarya Ojha,Akshay Dogra,6.7
Rana,1997.0,134.0,"Action, Drama, History",,,Unknown,Unknown,Unknown,Unknown,6.031999999999996
Rana the Don,2000.0,134.0,Action,,,Bhagyashree,Heera Rajgopal,Unknown,Unknown,4.630833333333337
Ranchandi,1935.0,134.0,Unknown,,,Navinchandra,Unknown,Unknown,Unknown,4.97473333333333
Rang Mahal,1948.0,134.0,"Fantasy, Drama",,,Anand Kumar,Suresh,Shah Nawaz,Anant Marathe,6.279183333333329
Rang Mahal,2002.0,134.0,Drama,,,Jagdeep,Satyendra Kapoor,Shakti Kapoor,Raj Kiran,4.78864246031746
Rang Raliyan,1962.0,134.0,Romance,,,Manher Desai,Meena,Munshi Munakka,Shanta Patel,6.194285714285715
Rangbhoomi,1946.0,134.0,Drama,,,Mohan Dayaram Bhavnani,Gope,Leela Mishra,Jagdish Sethi,6.991966666666657
Rangbhoomi,1935.0,134.0,Unknown,,,N.G. Devare,Unknown,Unknown,Unknown,4.97473333333333
Range Haath,2001.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,4.4860000000000015
Rangeela,1997.0,134.0,Romance,,,Vishwa Naidu,Unknown,Unknown,Unknown,5.857000000000004
Rangeela Buddha,2000.0,134.0,Comedy,,,Unknown,Unknown,Unknown,Unknown,4.593000000000003
Rangeela No.1,2003.0,134.0,Action,,,Hemant Birje,Mohan Joshi,Kiran Kumar,Unknown,5.969309523809523
Rangeela Premi,2002.0,134.0,Thriller,,,Selvan,Unknown,Unknown,Unknown,6.036999999999999
Rangeela Raja,1960.0,134.0,Drama,,,Master Bhagwan,Chand Burke,Jayant,Kumkum,5.806516666666664
Rangeen Duniya,1975.0,134.0,Romance,,,S.A. Ashokan,Manjula,M.G. Ramachandran,Unknown,6.148499999999999
Rangeen Jawani,1990.0,134.0,Thriller,,,Jayshree,Radha Ravi,Shafi,Unknown,5.196642857142857
Rangeen Kahani,1947.0,134.0,Unknown,,,Anjum Husaini,S. Ahmed,Khurshid Begum,Bibi,6.878050000000003
Rangeen Shaam,2003.0,61.0,Thriller,,,Bhaboos,Bhaboos,Lekha Pande,Unknown,6.073999999999999
Rang-E-Ishq,2015.0,130.0,Romance,,,Srinivaas Anjanappa,Muzahid Khan,Kavya Kiran,Deepak Srivastav,4.5070000000000014
Rangila,1953.0,134.0,Unknown,,,Master Bhagwan,Master Bhagwan,Leela Gandhi,Unknown,6.074366666666667
Rangila Jawan,1940.0,134.0,Unknown,,,S.M. Yusuf,Agha,Gangaram,Gangoobai,6.410766666666671
Rangila Mazdoor,1938.0,134.0,Unknown,,,S.M. Yusuf,Agha,Bismillah,Violet Cooper,5.649850000000002
Rangila Nawab,1935.0,134.0,Unknown,,,Nagendra Majumdar,Azoorie,Master Dinkar,Nurjahan,5.7406000000000015
Rangila Raja,1936.0,134.0,Unknown,,,Jayant Desai,Kesari,Unknown,Unknown,4.216466666666667
Rangila Rajasthan,1949.0,134.0,Unknown,,,Bharat Bhushan,Unknown,Unknown,Unknown,5.897000000000005
Rangila Rajput,1933.0,134.0,Unknown,,,Mohan Dayaram Bhavnani,W.M. Khan,Nissar,Unknown,5.005350000000002
Rangile Dost,1944.0,134.0,Unknown,,,Aghajani,Unknown,Unknown,Unknown,5.1666666666666625
Rangili,1952.0,134.0,Drama,,,Najam Naqvi,Raaj Kumar,Mehmood,Leela Mishra,8.326333333333327
Rangraas,1997.0,134.0,Drama,,,Saazish Sidhu,Rajeev Khandelwal,Unknown,Unknown,6.104466666666666
Rani,1952.0,134.0,Unknown,,,L.V. Prasad,Wahab Kashmiri,Anup Kumar,Raja,6.614633333333335
Rani,1943.0,134.0,Unknown,,,P.C. Barua,P.C. Barua,Jamuna,Patience Cooper,6.018958730158732
Rani Aur Jaani,1973.0,134.0,Action,,,K.S.R. Das,Anil Dhawan,Aruna Irani,Jyothi Lakshmi,6.355999999999998
Rani Chandravati,1968.0,134.0,Drama,,,Lalita Pawar,Bipin Gupta,Rajan Kapoor,Unknown,6.144252380952379
Rani Mera Naam,2000.0,106.0,Action,,,William Hunt,Willy Raja,Mohan Joshi,Shakti Kapoor,4.576
Rani Sahiba,1940.0,134.0,Unknown,,,Dhirubhai Desai,Chunilal Parekh,Rajkumari,Unknown,6.38908333333334
Ranjish,1985.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.936916666666662
Ranoo: Bar wali,2019.0,134.0,Drama,,,Akshay Paniker,Saheem Khan,Aparna Mishra,Unknown,4.986912518037519
Ranthambhor: The Untold Saga,2016.0,59.0,"Documentary, History, War",,,Ajay Jain,Vidhu Rashmi Jain,Pranay Bhardwaj,Unknown,5.531999999999999
Ranthambore,2014.0,88.0,"Adventure, Horror, Thriller",,,Paul R. Solomon,Prasenjit Das,Aishmita Meena,Jay Mukunda,5.392666666666668
Ranuja Na Raja Ramdev,1974.0,127.0,Drama,,,Babubhai Patel,Lata Arora,Kishore Bhatt,Shashikant Bhatt,6.360000000000002
Rape Unreported,1997.0,134.0,Thriller,,,Saif Baidya,Fahad Siddique,Tanuja Chatterjee,Unknown,5.837999999999998
Ras Vilas,1932.0,134.0,Unknown,,,Nagendra Majumdar,Gohar Karnataki,Mohini,Unknown,4.841473809523809
Rasbhari Jawani,2005.0,134.0,Thriller,,,Shakeela,Unknown,Unknown,Unknown,5.767000000000005
Rashida,1935.0,134.0,Unknown,,,Ezra Mir,Unknown,Unknown,Unknown,4.97473333333333
Rashk-e-Laila,1934.0,153.0,Unknown,,,Nanubhai Vakil,Zubeida,Bhai Desa,Master Gulab,5.6419999999999995
Rashmi Rocket,2021.0,134.0,Sport,,,Akarsh Khurana,DJ Farman,Mostafiz Mortoza,Priyanshu Painyuli,6.0613833333333345
Rashna:The Ray of Light,1997.0,150.0,"Mystery, Thriller",,,Vibha Singh,Shruti Haasan,Nargis Fakhri,Kay Kay Menon,5.2307999999999995
Rashtra Geet,2001.0,134.0,Action,,,K.V. Raju,Bhavana,Ilavarasi,Sai Kumar,4.714990367965369
Rashtraveer Shivaji,1962.0,134.0,"Action, Adventure, Drama",,,Sultan,Shyam Kumar,Ratnamala,Anjum,6.1553999999999975
Rasili,1946.0,134.0,Unknown,,,Kanhaiyalal Chaturvedi,Unknown,Unknown,Unknown,6.572000000000003
Rasiya,1954.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.198
Rasmon Ki Zanjeer,1999.0,134.0,Drama,,,Sanjeev Tony,Master Guddu,Dilip Dhawan,Avtar Gill,6.434430952380954
Raste Aur Manzil,1968.0,134.0,Drama,,,Azra,Bharathi,Pratima Devi,Paidi Jairaj,6.111483333333329
Ratna Dakoo,1972.0,134.0,Action,,,Chandramohan,Krishna Ghattamaneni,Jyothi Lakshmi,Jayshree T.,6.851999999999999
Ratna Manjari,1955.0,134.0,Unknown,,,G.P. Pawar,Mahipal,Shakila,Rehana,6.325999999999998
Ratnaghar,1955.0,134.0,Unknown,,,Yeshwant Pethkar,V. Madan Mohan,Raja Paranjpe,Shakuntala Paranjpye,6.653416666666667
Ratnavali,1945.0,134.0,Drama,,,Surendra Desai,Surendra,Ratnamala,Usha Mantri,6.103666666666665
Ratri Milan,1998.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.462000000000002
Ratsasan Remake,1997.0,134.0,"Action, Crime, Thriller",,,Unknown,Unknown,Unknown,Unknown,6.031999999999996
Raudi the Super Hero,1987.0,134.0,Action,,,Doraswamy Raju,Amala Akkineni,Nagarjuna Akkineni,Jayasudha,4.991095238095237
Raunaq,1993.0,134.0,Unknown,,,Bobby Tappia,Priyanka Upendra,Neeraj Kumar,Subbiraj,5.834166666666672
Ravan,1949.0,134.0,Drama,,,Shanti Kumar,Unknown,Unknown,Unknown,6.017800000000001
Ravana: Ek Love Katha,1997.0,134.0,"Comedy, Romance",,,J. Nutan Punkaj,Rahul Dev,Akanksha Sharda,Unknown,6.051666666666664
Razia,1988.0,134.0,Romance,,,Braj Bhushan,Suraj Chaddha,Iftekhar,Anita Kanwar,5.466600000000001
Razia,1982.0,134.0,Romance,,,Chitra,D K Goel,Saleem,Samdhani,6.143333333333333
Re HaiVaan,2018.0,60.0,"Action, Adventure, Horror",,,Prashast Singh,Prashast Singh,Unknown,Unknown,6.020999999999997
Real Champions,1997.0,134.0,Drama,,,Ashok Baphna,Avani,Ronit,Yatharth,5.157533333333331
Red Affair,2017.0,134.0,Thriller,,,Subroto Paul,Pradeep Rangwani,Arbaaz Khan,Manjari Fadnnis,6.768558333333337
Red Bluff,2016.0,134.0,"Action, Drama",,,Sukhwant Dhadda,Consuelo Vega,Jaime Aymerich,Gary Nohealii,5.838200000000003
Red Light,2006.0,134.0,Drama,,,Suresh Jain,Gulshan,Tanveer,Kanchan,5.835911904761901
Red Mercury Mission in India,2021.0,134.0,"Action, Crime, War",,,Maheshh,Sukesh,Trigger Ravi,Spurthi Rao,3.9596666666666662
Red Punch Knockdown,1997.0,134.0,Drama,,,Sanjeev Trigunayat,Sonika Gill,Hemant Birje,Birbal,5.006366666666662
Red Signal,1941.0,134.0,Unknown,,,Benjamin,Nurjahan,Urmila,Unknown,6.333000000000007
Red Signal (the Age of youth),1997.0,134.0,Comedy,,,Vijay Verma,Meet Arora,Sumit Bharadwaj,Avi Kashyap,4.796999999999997
Refugee,1948.0,134.0,Drama,,,Ajit,Harishchandra,Kesarbai,Unknown,6.768933333333334
Rehana,1946.0,134.0,Unknown,,,Harbans,Farida,Leela,Manorama,6.898500000000001
Reincarnation,2019.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.477464285714287
Rekha,1943.0,134.0,Unknown,,,Leela Chitnis,Unknown,Unknown,Unknown,5.074666666666662
Rekha's Mind and Body Temple,1983.0,134.0,Drama,,,Rekha,Unknown,Unknown,Unknown,5.510511904761902
Renuka,1947.0,134.0,Unknown,,,Ramesh Saigal,Afzal,Chanda,Vijaya Das,6.934650000000004
Renukadevi Mahatyam,1960.0,134.0,"Drama, Musical",,,K.S. Prakash Rao,Kongara Jaggaiah,Varalakshmi G.,Gummadi,6.042538095238099
Reporter,1946.0,134.0,Unknown,,,D.S. Potdar,Ali,Benjamin,Bibì,6.476630952380953
Resham,1952.0,134.0,Drama,,,Lekhraj Bhakri,Unknown,Unknown,Unknown,6.485000000000002
Reshma,1995.0,134.0,Drama,,,Surinder Kapoor,Sadashiv Amrapurkar,Gajendra Chauhan,Dinesh Hingoo,6.788388095238093
Reshmi Sari,1940.0,134.0,Unknown,,,G.P. Pawar,Vasant,Unknown,Unknown,4.586000000000001
Respect Her,2015.0,134.0,Crime,,,Rugved Mondkar,Unknown,Unknown,Unknown,6.126357142857143
Ret Mahal,1949.0,134.0,Drama,,,B.N. Chowhan,Altaf,Khurshid Jr.,Sudha Rao,6.527166666666666
Retirement,2021.0,134.0,Drama,,,Pragyesh Singh,Unknown,Unknown,Unknown,5.355416666666671
Return Of Gadar - Ek Desh Premi,2002.0,120.0,Action,,,Kishan Shah,Duplicate Sunny Deol,Ramesh Goyal,Amit Kapoor,4.257333333333334
Return of Johny,1972.0,134.0,Action,,,Chandrakala,Jyothi Lakshmi,Shobha,Unknown,6.082799999999999
Return of Ranveer,2017.0,134.0,Action,,,Ashok Jamuar,Rajeev Singh,Unknown,Unknown,5.8370000000000015
Return of Superman,1962.0,134.0,Action,,,Manmohan Sabir,Unknown,Unknown,Unknown,4.725666666666662
Return of Toofan Mail,1942.0,134.0,Action,,,Aspi Irani,Arun,Shamim,Jagdish Sethi,5.587923809523812
Return Ticket,2021.0,134.0,Drama,,,Nisant,Arbaaz Khan,Mugdha Godse,Vikram Gokhale,5.864107142857148
Revolver Rani,1971.0,134.0,Action,,,Vijayalalitha,Unknown,Unknown,Unknown,4.800999999999997
Rhino,1987.0,103.0,"Adventure, Drama",,,Shashank Shanker,Vinod Arora,Nirmal Banerjee,Deepak Chakravarti,5.232
Rickshawali,1990.0,134.0,Unknown,,,Satish Ranadive,Laxmikant Berde,Madhu Kambikar,Alka Kubal,5.315500000000002
Rickshawali,2007.0,134.0,Drama,,,Suresh Jain,Tanveer,Mamata,Shiri Khan,6.185678571428566
Riding Hero,1951.0,134.0,Unknown,,,Chandrakant,Unknown,Unknown,Unknown,6.579666666666675
Riding on a Sunbeam,2016.0,108.0,Documentary,,,Brahmanand S. Singh,Mauktik Kulkarni,Samantha Jo Fitzsimons,Unknown,5.83985
Rifle Ganj,2016.0,121.0,"Crime, Drama",,,Manoj K. Jha,Madhulagna Das,Puja Gupta,Mohan Joshi,6.424947619047623
Rifle Girl,1938.0,134.0,Unknown,,,R.S. Choudhury,Unknown,Unknown,Unknown,4.040900000000004
Rifle Girl,1958.0,134.0,Action,,,B.J. Patel,Rajan Kapoor,Mehroo,Nilofer,5.952733333333331
Rihaee,1954.0,134.0,Unknown,,,K. Ramnoth,Unknown,Unknown,Unknown,6.202500000000004
Rikshawala,1938.0,134.0,Unknown,,,Ezra Mir,Dixit,Unknown,Unknown,3.832400000000001
Rikshawala,1960.0,134.0,Drama,,,Shankar Mehta,Anita Guha,Sheila Kashmiri,Kuldip Kaur,6.455266666666663
Rimjhim,1949.0,144.0,Unknown,,,Ramesh Gupta,Sushil Sahu,Ramola,Unknown,6.882999999999999
Rimjhim Geeton Ki,1986.0,134.0,Documentary,,,Govind Moonis,Mithun Chakraborty,Dharmendra,Madhuri Dixit,5.979235347985348
Rio to Goa,2015.0,134.0,Animation,,,Arvind C. Jadeja,Unknown,Unknown,Unknown,6.126357142857143
Rishta,1954.0,134.0,"Drama, Family",,,Aslam,Suresh,Nigar Sultana,Anwar,6.081183333333327
Rishta To Ho Aisa,1992.0,134.0,Unknown,,,Kalpataru,Mahesh Raaj,Unknown,Unknown,4.732000000000005
Rishte Ke Deewar,1992.0,134.0,Drama,,,Kamini Kaushal,Datta Keshav,Unknown,Unknown,5.987291666666663
Rishtey,2005.0,134.0,Drama,,,Raj Samra,Unknown,Unknown,Unknown,5.733554761904762
Rising of Sarpanch,2014.0,134.0,Musical,,,Aakash Chaturvedi,Ankul Kumar,Amit Tiwari,Unknown,4.756700000000002
Risknamaa 2,2021.0,150.0,Thriller,,,Aarun Nagar,Kirti Gurjar,Prajakta Kiran,Prayas Mann,7.391916666666673
Riti Rivaj,2018.0,134.0,Drama,,,Dinesh Rajpurohit,Heta Shah,Unknown,Unknown,4.058383333333336
Ritu Vihaar,1954.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.198
Rivers of Life,1959.0,134.0,Unknown,,,Fali Bilimoria,Unknown,Unknown,Unknown,6.002857142857142
Riwaaj,1947.0,134.0,Unknown,,,Ishwarlal,Ishwarlal,Paro Devi,Mubarak,6.8121
Riyasat,1955.0,134.0,Unknown,,,Jaswant Jhaveri,Hiralal,Mahipal,Babu Raje,6.3113666666666655
Rizwan,2019.0,134.0,Drama,,,Deepti Khurana,Unknown,Unknown,Unknown,4.841514285714288
Rizwan,2020.0,130.0,Drama,,,Haresh Vyas,Jalpa Bhatt,Gaurav Chansoria,Digisha Gajjar,5.124900000000002
Road No. 303,1960.0,134.0,"Action, Crime, Mystery",,,Dharam Kumar,Shubha Khote,Mehmood,K.N. Singh,6.271393253968259
Road to Sikkim,1969.0,134.0,Unknown,,,Ravindra Dave,Dhumal,Helen,Jayant,6.371750000000003
Robinhood Ke Pote,2016.0,134.0,Drama,,,Lucky Hansraj,Pradeep Singrole,Rajat Barmecha,Anshuman Jha,5.452816666666663
Rock the Shaadi,2014.0,134.0,"Comedy, Horror",,,Navdeep Singh,Genelia D'Souza,Abhay Deol,Kushal Punjabi,3.7288642857142844
Rocket Girl,1962.0,134.0,"Drama, Fantasy, Sci-Fi",,,Nanabhai Bhatt,Master Bhagwan,Sudesh Kumar,Nilofer,5.924600000000001
Rocket Tarzan,1963.0,134.0,"Action, Sci-Fi",,,Shree Bhagwan,Shakeela Bano Bhopali,Dalpat,Ranjan Kapoor,6.513160714285714
Rocketry: The Nambi Effect,2021.0,134.0,"Biography, Drama",,,Madhavan,Madhavan,Bhawsheel Sahni,Arnaud Humbert,4.181533333333333
Rocky Mera Naam,1973.0,134.0,Action,,,Satram Rohera,Sanjeev Kumar,Nivedita,Bela Bose,6.4176
Rocky the Slave,1997.0,134.0,Action,,,James John,Dalip Tahil,Jackie Shroff,Gavin Packard,5.1533809523809495
Roll Sound Camera Action: RSCA,2015.0,105.0,Drama,,,Jayesh Sheth,Yash Eshawari,Bobby Kumar,Manish Mehta,5.248999999999998
Romancebaazi,2021.0,134.0,Drama,,,Sunny Solanki,Mukesh Aahuja,Ashish Kadian,Javed Rizvi,5.763107142857146
Romantic India,1936.0,161.0,Unknown,,,Mohan Sinha,Nurjahan,Radharani,Snehalata,6.464999999999999
Romeo Idiot Desi Juliet,2020.0,134.0,Comedy,,,Ajay Lohan,Sandeep Bharadwaj,Brijendra Kala,Neelu Kohli,6.769883333333328
Romeo in Sikkim,1975.0,134.0,Romance,,,Harikrishna Kaul,Rajan Haksar,Seema Kapoor,Amina Karim,6.117499999999999
Romi the Hero,2019.0,135.0,Drama,,,Santosh Gupta,Gullu Dada,Mudassir Khan,Shehbaaz Khan,4.773322041847043
Ronaq,1944.0,134.0,Unknown,,,Dwarka Khosla,Chandraprabha,Noor Mohammad Charlie,Chandra Mohan,5.4701785714285736
Rooh,2010.0,134.0,Horror,,,Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Sana Govil,4.712623809523806
ROOH - Ghost Story,1997.0,134.0,Horror,,,Unknown,Unknown,Unknown,Unknown,5.7405
Roohani,2019.0,134.0,"Comedy, Horror",,,Deepak Saraswat,Sunil Pal,Ehsaan Qureshi,Unknown,4.929749999999999
Room No. 203,1980.0,134.0,Mystery,,,Parikshit Sahni,Bindu,Shyamalee,Jagdeep,4.795318181818184
Room No. 9,1946.0,134.0,Drama,,,Vedi,Geeta Nizami,Shyam,K.N. Singh,6.884966666666661
Room No.17,1961.0,134.0,Thriller,,,R.D. Rajput,Chitra,Daljeet,Radhika,6.492423809523807
Roomal,1949.0,134.0,Unknown,,,Ramchandra Thakur,Nargis,Rehman,Paidi Jairaj,6.9868833333333376
Roop Basant,1933.0,134.0,Unknown,,,Anand Prasad Kapoor,Sardar Akhtar,Ashraf Khan,Yakbal,4.951016666666668
Roop Basant,1955.0,134.0,Fantasy,,,A.M. Khan,Chitra,Daljeet,Kamran,6.444099999999996
Roop Basant,1949.0,134.0,Fantasy,,,Amulakh Desai,Amirbai Karnataki,Prakash,Rafiq,6.272083333333331
Roop Kumari,1934.0,134.0,Unknown,,,J.J. Madan,Akhtari,Laxmi,Mohan,5.725666666666667
Roop Kumari,1956.0,134.0,Romance,,,Manibhai Vyas,Mahipal,Shakila,Chandrashekhar,5.338200000000005
Roop Lekha,1949.0,134.0,"Comedy, Musical",,,Mohammed Hussain,Master Bhagwan,Sudha,Shyama,5.550916666666659
Roop Nagar,1947.0,134.0,Unknown,,,K. Amarnath,Jayant,Unknown,Unknown,6.316416666666673
Roop Rekha,1948.0,134.0,Unknown,,,Samar Ghosh,Veena Kohli,Rehan,Smriti Biswas,6.978816666666664
Roop Rupaiya,1968.0,134.0,Unknown,,,P.L. Santoshi,Jagdeep,Jaya Mala,Unknown,6.667666666666662
Roop Sundari,1964.0,134.0,Unknown,,,Chandrakant,Bela Bose,Laxmi Chhaya,Anita Guha,5.957238095238093
Rooplekha,1962.0,134.0,Unknown,,,Mohammed Hussain,Mahipal,Raj Adeeb,Nazir Kashmiri,5.764566666666664
Roots,2016.0,134.0,Unknown,,,Shweta Basu Prasad,A.R. Rahman,Unknown,Unknown,5.375500000000001
Rose Thorn,2004.0,134.0,Thriller,,,Sheetal,Paul Betts,Bob Christo,Steve Edwards,5.030133333333335
Roshan Ara,1932.0,134.0,Unknown,,,G.R. Sethi,Ghaznavi,Rafiq Ghaznavi,Haider Shah,4.937440476190477
Roshni,1988.0,134.0,Documentary,,,Bhimsain,Unknown,Unknown,Unknown,6.1729999999999965
Roshni,2002.0,134.0,Drama,,,Karan Razdan,Gulshan Grover,Bikram Saluja,Kashmira Shah,5.013447222222222
Roshni,2015.0,134.0,Unknown,,,Unknown,Unknown,Unknown,Unknown,6.687357142857145
Roshni aur Andhera,1974.0,134.0,Thriller,,,Shivaram,Jayshree T.,Unknown,Unknown,5.7019999999999955
Rosie: The Saffron Chapter,1997.0,134.0,"Horror, Thriller",,,Vishal Mishra,Mallika Sherawat,Vivek Oberoi,Arbaaz Khan,4.057457142857149
Rosy,2006.0,134.0,Thriller,,,Sonali Goswami,Dinesh Hingoo,Mohan Joshi,Abu Khan,4.131171428571428
Roti,1950.0,134.0,Drama,,,Krishan Kumar,Unknown,Unknown,Unknown,6.170750000000003
Rowdy Lafange,2017.0,134.0,Romance,,,Nihal Khan,Chetan Anand,Sandeep Pal,Sofiya,4.060500000000001
Royal Commander,1938.0,134.0,Action,,,Udwadia,Gulab,Nurjahan,Anil Kumar,5.530133333333336
Royal Mail,1963.0,134.0,Action,,,B.J. Patel,Mahesh Kumar,Ambika,Ranjan Kapoor,6.013333333333333
